id,name,url,descr,logo,mood
24,Soma – Secret Agent,http://ice4.somafm.com/secretagent-128-mp3,Tunes for spies - Tunes for Pi’s,https://somafm.com/img3/secretagent-400>,jazzy
25,WDCB Chicago,http://wdcb-ice.streamguys.org:80/wdcb128,- Blues Jazz USA -,https://www.radio.net/images/broadcasts/c6/fd/23072/c100.png,blues
26,Flux – Rasta,http://streams.fluxfm.de/rastaradio/mp3-320/vtuner/,- Berlin Germany -,https://www.radio.net/images/broadcasts/01/ee/2226/1/c300.png,reggae
27,Soma – Fluid,http://ice4.somafm.com/fluid-128-mp3,Drown in the electronic sound of instrumental hiphop future soul and liquid trap,https://www.chilltrax.com/images/specialty/default-album-cover.png,mellow
28,Dr. Dick's Dub Shack,http://streamer.radio.co/s0635c8b0d/listen?,- Bethaven  Bermuda - ,https://cdn-profiles.tunein.com/s51000/images/logod.png,reggae
29,Soma – Groove Salad Classic,http://ice2.somafm.com/gsclassic-128-mp3,Salad Drowned and no longer fresh in downtempo beats,https://somaf>,mellow
30,Hi On Line - World,http://mediaserv38.live-streams.nl:8027/live,- World Music - Netherlands -,https://www.radio.net/images/broadcasts/2b/f7/33546/c100.png,reggae
31,Swiss Classical,http://stream.srg-ssr.ch/m/rsc_de/mp3_128,who knows and who cares,https://www.radioswissclassic.ch/social-media/rsc-web>,classey
32,Big Bob Rock,http://streams.radiobob.de/bob-live/mp3-192/vtuner/,i guess if you're gonna rock deutchland rach!,https://www.radiobob.de/>,ornery
33,Radio Paradise – World,https://stream.radioparadise.com/world-etc-320,- World Music - USA AAC -,https://somafm.com/img3/fluid-400.jpg,reggae
34,Dandelion Radio,http://stream.dandelionradio.com:9414,Supposed to be good,https://moodeaudio.org/forum/attachment.php?thumbnail=2285,funky
35,Roots Legacy Radio Dub,http://rootslegacy.fr:8080/listen1,- Lille  France - ,https://cdn-radiotime-logos.tunein.com/s190274d.png,reggae
36,Reggae 4 Us,https://station.reggae4us.net:8010/stream,- United Kingdom,https://moodeaudio.org/forum/attachment.php?thumbnail=2285,reggae
37,DR P8 Jazz,http://live-icy.gss.dr.dk:8000/A/A22H.mp3,Jazz – Denmark,https://www.radio.net/images/broadcasts/4b/81/12828/1/c300.png,jazzy
38,Jazz Radio: Jazz & Cinéma,http://jzr-wr20.ice.infomaniak.ch/jzr-wr20,- Lyon  France - ,https://www.radio.net/images/broadcasts/26/e4/32204/2/c300.png,jazzy
39,Hi On Line - Jazz,http://mediaserv38.live-streams.nl:8006/live,- Jazz - Netherlands -,https://www.radio.net/images/broadcasts/2b/f7/33546/c100.png,jazzy
40,Jazz24,http://live.wostreaming.net/direct/ppm-jazz24aac256-ibc1,- Jazz - USA - ,https://www.radio.net/images/broadcasts/cc/42/1655/1/c100.png,jazzy
41,NAIM Jazz,http://mscp3.live-streams.nl:8340/jazz-high.aac,- Jazz - UK -,https://www.radio.net/images/broadcasts/d1/09/12344/2/c100.png,jazzy
42,Positivly Baroque,http://new.play.organlive.com:7002,- Classical Baroque - USA -,https://www.radio.net/images/broadcasts/d8/8c/110024/2/c100.png,jazzy
43,Radio SRF 2 Kultur,http://streaming.swisstxt.ch/m/drs2/mp3_128,- Classical Jazz Switzerland - ,https://www.radio.net/images/broadcasts/5e/51/4499/c100.png,jazzy
